Name,Ticker
"10X GENOMICS, INC.",TXG
180 LIFE SCIENCES CORP.,ATNF
"1LIFE HEALTHCARE, INC.",ONEM
"4D MOLECULAR THERAPEUTICS, INC.",FDMT
5:01 ACQUISITION CORP.,FVAM
7GC & CO. HOLDINGS INC.,VII
"89BIO, INC.",ETNB
"8X8, INC.",EGHT
"A10 NETWORKS, INC.",ATEN
ACADIA PHARMACEUTICALS INC.,ACAD
ACCURAY INCORPORATED,ARAY
"ACELRX PHARMACEUTICALS, INC.",ACRX
ACIES ACQUISITION CORP.,ACAC
"ACM RESEARCH, INC.",ACMR
"ACTIVISION BLIZZARD, INC.",ATVI
"ACUTUS MEDICAL, INC.",AFIB
"ADAMAS PHARMACEUTICALS, INC.",ADMS
ADAMIS PHARMACEUTICALS CORPORATION,ADMP
"ADITX THERAPEUTICS, INC.",ADTX
ADOBE INC.,ADBE
"ADVANCED MICRO DEVICES, INC.",AMD
ADVANTAGE SOLUTIONS INC.,ADV
"ADVERUM BIOTECHNOLOGIES, INC.",ADVM
AEHR TEST SYSTEMS,AEHR
"AEMETIS, INC.",AMTX
AEROCENTURY CORP.,ACY
"AEROJET ROCKETDYNE HOLDINGS, INC.",AJRD
"AETHLON MEDICAL, INC.",AEMD
"AFFIRM HOLDINGS, INC.",AFRM
"AGEX THERAPEUTICS, INC.",AGE
"AGILENT TECHNOLOGIES, INC.",A
AIR LEASE CORPORATION,AL
"AIRBNB, INC.",ABNB
"AIRGAIN, INC.",AIRG
"AKERO THERAPEUTICS, INC.",AKRO
"ALECTOR, INC.",ALEC
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ARE
"ALIGOS THERAPEUTICS, INC.",ALGS
ALLAKOS INC.,ALLK
"ALLIED ESPORTS ENTERTAINMENT, INC.",2AA.SG
"ALLOGENE THERAPEUTICS, INC.",ALLO
ALPHABET INC.,GOOG
"ALPHATEC HOLDINGS, INC.",ATEC
"ALTERYX, INC.",AYX
ALTIMETER GROWTH CORP.,AGC
ALTIMETER GROWTH CORP. 2,AGCB
ALX ONCOLOGY HOLDINGS INC.,ALXO
"A-MARK PRECIOUS METALS, INC.",AMRK
"AMBARELLA, INC.",AMBA
"AMERICAN ASSETS TRUST, INC.",AAT
AMERICAN RIVER BANKSHARES,AMRB
AMERICAN SHARED HOSPITAL SERVICES,AMS
AMERICAN STATES WATER COMPANY,AWR
AMERICAN VANGUARD CORPORATION,AVD
AMGEN INC.,AMGN
"AMPHASTAR PHARMACEUTICALS, INC.",AMPH
"AMYRIS, INC.",AMRS
"ANAPLAN, INC.",PLAN
"ANAPTYSBIO, INC.",ANAB
"ANIXA BIOSCIENCES, INC.",ANIX
"ANNEXON, INC.",ANNX
ANWORTH MORTGAGE ASSET CORPORATION,ANH
APEX TECHNOLOGY ACQUISITION CORPORATION,APXT
"APOLLO MEDICAL HOLDINGS, INC.",AMEH
"APPFOLIO, INC.",APPF
APPLE INC.,AAPL
"APPLIED MATERIALS, INC.",AMAT
APPLIED MOLECULAR TRANSPORT INC.,AMTI
"ARC DOCUMENT SOLUTIONS, INC.",ARC
"ARCADIA BIOSCIENCES, INC.",RKDA
ARCTURUS THERAPEUTICS HOLDINGS INC.,ARCT
"ARCUS BIOSCIENCES, INC.",RCUS
"ARCUTIS BIOTHERAPEUTICS, INC.",ARQT
"ARDELYX, INC.",ARDX
ARES MANAGEMENT CORPORATION,ARES
"ARIDIS PHARMACEUTICALS, INC.",ARDS
"ARISTA NETWORKS, INC.",ANET
"ARLO TECHNOLOGIES, INC.",ARLO
"ARMATA PHARMACEUTICALS, INC.",ARMP
"ARROWHEAD PHARMACEUTICALS, INC.",ARWR
"ARTELO BIOSCIENCES, INC.",ARTL
"ASANA, INC.",ASAN
"ASSEMBLY BIOSCIENCES, INC.",ASMB
"ASSETMARK FINANCIAL HOLDINGS, INC.",AMK
"ATARA BIOTHERAPEUTICS, INC.",ATRA
ATOMERA INCORPORATED,ATOM
"ATRECA, INC.",BCEL
"ATYR PHARMA, INC.",LIFE
"AUTODESK, INC.",ADSK
AVERY DENNISON CORPORATION,AVY
"AVID BIOSERVICES, INC.",CDMO
"AVIDITY BIOSCIENCES, INC.",RNA
"AVINGER, INC.",AVGR
"AVITA MEDICAL, INC.",RCEL
"AXONICS, INC.",AXNX
"AXT, INC.",AXTI
"B. RILEY FINANCIAL, INC.",RILY
"BANC OF CALIFORNIA, INC.",BANC
BANK OF COMMERCE HOLDINGS,BOCH
BANK OF MARIN BANCORP,BMRC
BAYCOM CORP,BCML
BCTG ACQUISITION CORP.,BCTG
BEAM GLOBAL,BEEM
BENITEC BIOPHARMA INC.,BNTC
"BERKELEY LIGHTS, INC.",BLI
"BEYOND MEAT, INC.",BYND
BIG 5 SPORTING GOODS CORPORATION,BGFV
"BILL.COM HOLDINGS, INC.",BILL
"BIOATLA, INC.",BCAB
"BIOCARDIA, INC.",BCDA
"BIOCEPT, INC.",BIOC
"BIOLASE, INC.",BIOL
BIOMARIN PHARMACEUTICAL INC.,BMRN
"BIOMERICA, INC.",BMRA
"BIONANO GENOMICS, INC.",BNGO
"BIO-RAD LABORATORIES, INC.",BIO
BIOVIE INC.,BIVI
"BJ’S RESTAURANTS, INC.",BJRI
